DEPT,GR,LLD,LLS,DTC,DTS,NPHI,RHOB,DCALI_FINAL,WELL
3810.15,98.81,213.8399963,2.44,,,,,,Well 6
3684.3,82.32,759.66,744.12,55.42413438,97.8529901,0.02,2.71,0.15,Well 12
4040.7,116.837,436.8027,83.7037,55.7838,,8.7792,2.6442,0.2915,Well 4
5623.95,113.91,7733.63,98.01,53.21494386,94.0051515,0.02,2.72,0.19,Well 8
4350.1056,142.0156,9266.616,217.4425,52.15364639,88.72083777,0.04811,2.64786,0.03903,Well 10
5583.15,115.5243,18385.6377,771.6183,50.2247,,3.6913,2.7473,0.5495,Well 4
5885.7,146.93,192.55,58.32,54.25417616,99.11832787,0.03,2.65,0.16,Well 8
3672.3,79.66,526.8300171,1.84,,,,,,Well 6
4661.25,89.81,361.36,151.17,,,,,,Well 6
5218.95,106.52,195.28,71.43,57.24394,99.34636144,0.13,2.45,0.08,Well 11
3958.4376,150.8963,55.77529,0.1,61.25885107,113.3600096,0.13423,2.55949,0.21132,Well 10
5144.7,45.94,263.64,205.16,58.86155,100.7095065,0.19,2.53,0.13,Well 11
4863.3,88.3051,26.079,14.0912,,,17.6163,2.6604,0.7035,Well 4
5254.8,115.913,42.6979,4.094,53.9579,,8.3192,2.6549,0.3984,Well 4
4594.35,79.61,2271.72,1213.36,,,,,,Well 7
4309.11,74.02532959,137.6716003,40.1232872,56.38777542,102.4579239,0.165993333,2.70201993,0.096026763,Well 5
4515.1548,73.79532623,952.7807007,124.4582825,52.00686264,,0.219673336,2.721306801,0.000326674,Well 5
4964.4,105.91,289.01,409.64,,,,,,Well 6
4174.5,96.86,2343.7,18316.74,50.05265,88.84687598,0.06,2.61,0.04,Well 11
4511.1,104.27,345.75,668.3,54.65351,97.59133835,0.08,2.56,0.05,Well 11
3648.15,74.04,91.41000366,280.3900146,,,,,,Well 7
4094.3784,90.2432,569.2464,12.24870014,52.31291,91.91562,0.0743,2.5632,0.6906,Well 1
4210.6596,185.1667938,587.6013184,36.82961655,56.05802155,95.43028259,0.100000002,2.609999895,0.091293484,Well 5
3518.85,102.55,124.09,6.61,,,,,,Well 9
6220.95,116.15,731.1,1658.57,51.77659673,90.88767622,0.02,2.71,0.15,Well 8
4303.3188,39.0723381,284.7121277,34.10874558,58.48311234,105.5614014,0.222073332,2.70622015,0.21036689,Well 5
4845.4056,78.02887,146.7377,36.28178,54.58507681,96.62308142,0.13286,2.65773,0.12844,Well 10
4170.3,63.56,157.04,131.77,62.52642703,93.99193402,0.13,2.55,0.15,Well 12
4274.25,88.54,337.27,98.97,50.49864457,87.7096094,0.05,2.66,0.02,Well 12
5045.25,125,2323.81,4131.28,56.32975,98.61789572,0.08,2.56,0.02,Well 11
4531.1568,89.69735718,574.5639648,58.5574913,54.27708435,92.27700043,0.117126666,2.589999914,0.038620133,Well 5
5060.55,94.21,907.06,5079.92,62.05115,98.1265563,0.1,2.54,0.14,Well 11
6706.5,107.6,5688.49,181.16,50.05512373,87.81290772,0.03,2.64,0.16,Well 8
4434.6,113.7,120.66,2.58,,,,,,Well 6
4903.2,94.5464,103.3015,21.7979,55.2083,,7.9864,2.6916,0.1806,Well 4
4745.85,116.91,318.08,461.41,60.5345,92.74585257,0.08,2.59,0.11,Well 11
4633.4172,87.66862,15552.14,147.4438,51.19716426,89.02380236,0.05057,2.70799,0.06418,Well 10
4854.9,117.5173,17.597,11.6431,67.8998,,14.2902,2.6358,0.5751,Well 4
6164.4,107.61,228137,16084.64,51.23139497,87.52436772,0.02,2.7,0.12,Well 8
5173.65,104.42,153.92,1890.82,51.79333905,,0.04,2.56,0.1,Well 8
4219.8,86.11,150.05,220.57,,,,,,Well 7
3925.8,77.68,331.47,3436.57,,,,,,Well 7
3665.677,161.46,751.112,165.539,55.754,104.331,0.092,2.645,0.051,Well 3
7102.8,144.7,110.26,72.88,57.6593892,100.6234027,0.08,2.51,0.22,Well 8
4214.85,81.85,4913.46,10.1,,,,,,Well 9
3407.1,163.1,241.17,106.05,,,,,0.5879,Well 2
5238.45,110.73,2097.89,9.39,55.91503,96.3623899,0.09,2.51,0.6,Well 11
4578.75,113.9083,856.4871,176.7749,58.2501,,4.4401,2.6912,0.3056,Well 4
4102.05,69.94,2014.9,9873.82,,,,,,Well 7
4042.7148,238.4499,682.0555,16.45050049,53.92075,94.71791,0.001,2.597,0.5106,Well 1
3958.133,152.283,138.258,52.782,54.882,106.745,0.064,2.365,-1.897,Well 3
6770.25,106.93,197.53,327.49,59.56976381,101.2076674,0.11,2.54,0.05,Well 8
4054.65,86.67,240.39,527.86,,,,,,Well 7
4407,91.23,968.3,28.52,,,,,,Well 9
4652.4,71.74,419.5,19.93,,,,,,Well 9
4124.706,150.2132,2380.948,0.1,56.14195019,94.88461304,0.05789,2.75724,0.17946,Well 10
4281,117.6692,502.4382,244.0558,55.5984,,8.5109,2.6573,0.2923,Well 4
4847.85,106.69,200.65,1.35,57.60802225,104.7282525,0.05,2.34,1.53,Well 8
6363.15,119.6,116.84,38.58,54.38158591,95.34196291,0.06,2.61,0.18,Well 8
4506.75,66.85,444.05,464.01,,,,,,Well 7
4057.3452,99.2715,2069.9312,13.22710037,51.95242,92.38371,0.082,2.6525,0.5298,Well 1
4117.95,58.71,40.85,4.47,,,,,,Well 6
3969.9,54.48,100.12,138.3,54.26685,,0.2,2.59,0.31,Well 11
5603.25,119.6981,353.3558,43.0254,54.3876,,5.5732,2.7243,0.2566,Well 4
3892.5,77.46,94476.83,152.49,,,,,,Well 7
3903.9,58.3,96.59,49.99,,,,,,Well 2
4807.65,76.34,15653.22,23.54,,,,,,Well 9
4756.8,119.22,60.61,24.02,60.41497,100.8951976,0.15,2.4,0.67,Well 11
3520.35,92.06,74.91,4.3,,,,,,Well 9
4192.8,106.14,958.25,393.71,,,,,,Well 6
3561.3,87.94,730.7399902,5831.84,55.20769,101.7056869,0.05,2.68,0.15,Well 11
4292.25,122.319,419.0531,95.6589,56.1992,,7.0436,2.6855,0.442,Well 4
4518,33.65,224.91,1134.05,52.73871012,93.43732606,0.03,2.73,0.02,Well 8
4389.3,99.5972,133.8595,91.7326,52.823,,7.868,2.7021,0.2927,Well 4
6064.65,116.48,5628.22,15.55,52.706649,,0.02,2.68,0.7,Well 8
4142.25,73.17,40.79,0.23,,,,,,Well 6
3893.55,76.13,2263.37,66.21,,,,,,Well 7
4652.55,69.3,347.82,17.72,,,,,,Well 9
4240.8,59.83,192.32,146.39,61.68809171,97.17172769,0.13,2.54,0.08,Well 12
4931.25,129.03,89.82,54.25,,,,,,Well 6
